code,label
RVARTS,"RVARTS - Reading Visual Art"
SAD,"SAD - Systems Analysis and Design"
SAPP,"SAPP - Statistical Analysis with Software Application"
SCI204,"SCI204 - Chem2: Analytical Chemistry (with LAB)"
SCI205,"SCI205 - Phys2: Thermodynamics (with LAB)"
SCI212,"SCI212 - Bio3: Microbiology and Parasitology (with LAB)"
SCI213,"SCI213 - Phys4: Waves and Optics (with LAB)"
SCI214,"SCI214 - Phys5: Modern Physics"
SCI215,"SCI215 - Bio4: Anatomy and Physiology (with LAB)"
SCI216,"SCI216 - Astronomy"
SCI217,"SCI217 - The Teaching of Science"
SCI218,"SCI218 - Research in Teaching"
SCI219A,"SCI219A - Chem4: Biochemistry"
SNED205,"SNED205 - Curriculum and Pedagogy in Inclusive Education"
SNED206,"SNED206 - Educational Assessment of Students with Additional Needs"
SNED214,"SNED214 - Research in Special Needs and Inclusive Education 1"
SOCED204,"SOCED204 - Geography 2"
SOCED205,"SOCED205 - Macroeconomics"
SOCED206,"SOCED206 - Asian Studies"
SOCED214,"SOCED214 - Trends and Issues in Social Studies"
SOCED215,"SOCED215 - World History 2"
SOCED216,"SOCED216 - Teaching Approach in Secondary Social Studies"
SOCED217,"SOCED217 - Integrative Methods in Social Science Discipline in Basic Education"
SOCED218,"SOCED218 - Production of Social Studies Instructional Materials"
SOCED219,"SOCED219 - Assessment and Evaluation in the Social Science"
SOCED220,"SOCED220 - Technology for Teaching and Learning 2"
SOCED221,"SOCED221 - Research in Social Studies"
SSELEC201,"SSELEC201 - Social Networking for Social Integration"
STRAT100,"STRAT100 - Strategic Management"
STS,"STS - Science, Technology and Society"
TML202A,"TML202A - Front Office Operations - Lecture"
TML202L,"TML202L - Front Office Operations - Laboratory"
TML208,"TML208 - Destination Management and Marketing"
TMP302A,"TMP302A - Applied Business Tools and Technologies in Tourism - Lecture"
TMP302L,"TMP302L - Applied Business Tools and Technologies in Tourism - Laboratory"
TMP303,"TMP303 - Sustainable Tourism"
TMP306A,"TMP306A - Introduction to Meetings, Incentives, Conferences & Events Management - Lecture"
TMP306L,"TMP306L - Introduction to Meetings, Incentives, Conferences & Events Management - Laboratory"
TMP308A,"TMP308A - Research in Tourism - Lecture"
TMP310,"TMP310 - Foreign Language 2"
TMPRAC1,"TMPRAC1 - Practicum 1 (Public Sector Phase)"
TMPRAC2,"TMPRAC2 - Practicum 2 (Private Sector Phase)"
TXTN2,"TXTN2 - Business Taxation and Other Taxation Topics"
TXTN3,"TXTN3 - Strategic Tax Management"
USELF,"USELF - Understanding the Self"
UXUI,"UXUI - Introduction to UI, UX Design and HCI"
